Pos;2011;2010;Title;Director;Year;Country;Mins;Genre;Colour;Amazon;IMDB;Google
162;156;145;Philadelphia Story, The;Cukor, George;1940;US;112;Romance-Comedy;BW;Amazon;IMDB;Goog
163;164;177;Freaks;Browning, Tod;1932;US;64;Horror-Drama;BW;Amazon;IMDB;Goog
164;151;166;Conversation, The;Coppola, Francis;1974;US;113;Thriller-Drama-Crime;Col;Amazon;IMDB;Goog
165;170;167;Chien andalou, Un;Buñuel, Luis;1928;France;16;Horror-Fantasy-Avant-Garde;BW;Amazon;IMDB;Goog
166;161;151;Belle de jour;Buñuel, Luis;1967;France-Italy;100;Drama;Col;Amazon;IMDB;Goog
167;171;165;Good, the Bad and the Ugly, The;Leone, Sergio;1966;Italy-Spain;161;Western-Action;Col;Amazon;IMDB;Goog
168;176;179;Do the Right Thing;Lee, Spike;1989;US;120;Drama-Comedy;Col;Amazon;IMDB;Goog
169;166;159;Shoah;Lanzmann, Claude;1985;France;566;Documentary;Col;Amazon;IMDB;Goog
170;168;172;Trouble in Paradise;Lubitsch, Ernst;1932;US;83;Romance-Comedy;BW;Amazon;IMDB;Goog
171;165;170;Partie de campagne;Renoir, Jean;1936;France;40;Romance-Drama-Short;BW;Amazon;IMDB;Goog
172;169;157;Ivan the Terrible, Part Two;Eisenstein, Sergei;1946;USSR;88;Historical-Drama-Biography;BW;Amazon;IMDB;Goog
173;175;162;Cries and Whispers;Bergman, Ingmar;1972;Sweden;106;Drama;Col;Amazon;IMDB;Goog
174;182;188;Raiders of the Lost Ark;Spielberg, Steven;1981;US;115;Adventure-Action;Col;Amazon;IMDB;Goog
175;173;158;Sweet Smell of Success;Mackendrick, Alexander;1957;US;96;Drama;BW;Amazon;IMDB;Goog
176;201;214;Night of the Living Dead;Romero, George A.;1968;US;96;Horror;BW;Amazon;IMDB;Goog
177;186;216;Alien;Scott, Ridley;1979;US;117;Science Fiction-Horror;Col;Amazon;IMDB;Goog
178;194;215;Graduate, The;Nichols, Mike;1967;US;105;Romance-Drama-Comedy;Col;Amazon;IMDB;Goog
